INFO 2025-04-10 11:14:35,156 autoreload 100419 140335691841536 Watching for file changes with StatReloader
INFO 2025-04-10 11:16:16,303 autoreload 100822 140182841466880 Watching for file changes with StatReloader
WARNING 2025-04-10 11:16:35,234 log 100822 140182690985536 Forbidden (Origin checking failed - https://fb36-105-161-36-99.ngrok-free.app does not match any trusted origins.): /admin/login/
WARNING 2025-04-10 11:16:35,273 basehttp 100822 140182690985536 "POST /admin/login/?next=/admin/ HTTP/1.1" 403 1019
INFO 2025-04-10 11:18:37,508 autoreload 100822 140182841466880 /home/ismael/bulk-sms-reseller/bulk_sms/bulk_sms/settings.py changed, reloading.
INFO 2025-04-10 11:18:38,362 autoreload 101615 140155815211008 Watching for file changes with StatReloader
INFO 2025-04-10 11:18:47,803 basehttp 101615 140155734193728 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-04-10 11:18:48,394 basehttp 101615 140155734193728 "GET /admin/ HTTP/1.1" 200 10489
WARNING 2025-04-10 11:18:48,963 log 101615 140155734193728 Not Found: /static/admin/css/dashboard.css
WARNING 2025-04-10 11:18:48,968 basehttp 101615 140155734193728 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:18:49,204 log 101615 140155654501952 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:18:49,209 basehttp 101615 140155654501952 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:18:49,207 log 101615 140155646109248 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:18:49,210 basehttp 101615 140155646109248 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:18:49,217 log 101615 140155637716544 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:18:49,218 basehttp 101615 140155637716544 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:18:49,261 log 101615 140155629323840 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:18:49,273 basehttp 101615 140155629323840 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:18:49,298 log 101615 140155734193728 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:18:49,299 basehttp 101615 140155734193728 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:18:49,343 log 101615 140155620931136 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:18:49,344 basehttp 101615 140155620931136 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:18:50,457 log 101615 140155620931136 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:18:50,458 basehttp 101615 140155620931136 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:18:50,465 log 101615 140155734193728 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:18:50,467 basehttp 101615 140155734193728 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
INFO 2025-04-10 11:19:13,387 basehttp 101615 140155629323840 "GET /admin HTTP/1.1" 301 0
INFO 2025-04-10 11:19:13,433 basehttp 101615 140155629323840 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-04-10 11:19:13,640 basehttp 101615 140155629323840 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
WARNING 2025-04-10 11:19:13,766 log 101615 140155629323840 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:19:13,767 basehttp 101615 140155629323840 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:13,806 log 101615 140155629323840 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:19:13,807 basehttp 101615 140155629323840 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:13,834 log 101615 140155637716544 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:19:13,848 log 101615 140155612538432 Not Found: /static/admin/css/login.css
WARNING 2025-04-10 11:19:13,849 basehttp 101615 140155637716544 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:13,852 basehttp 101615 140155612538432 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:14,008 log 101615 140155604145728 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:19:14,009 basehttp 101615 140155604145728 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:14,287 log 101615 140155604145728 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:19:14,291 log 101615 140155629323840 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:19:14,293 basehttp 101615 140155604145728 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:14,293 basehttp 101615 140155629323840 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:14,458 log 101615 140155050522176 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:19:14,460 basehttp 101615 140155050522176 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:14,603 log 101615 140155042129472 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:19:14,604 basehttp 101615 140155042129472 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:15,309 log 101615 140155604145728 Not Found: /favicon.ico
WARNING 2025-04-10 11:19:15,311 basehttp 101615 140155604145728 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2025-04-10 11:19:51,574 basehttp 101615 140155620931136 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
WARNING 2025-04-10 11:19:51,726 log 101615 140155646109248 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:19:51,730 log 101615 140155620931136 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:19:51,732 basehttp 101615 140155646109248 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:51,732 basehttp 101615 140155620931136 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:51,784 log 101615 140155734193728 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:19:51,786 basehttp 101615 140155734193728 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:51,844 log 101615 140155654501952 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:19:51,845 basehttp 101615 140155654501952 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:51,900 log 101615 140155637716544 Not Found: /static/admin/css/login.css
WARNING 2025-04-10 11:19:51,903 basehttp 101615 140155637716544 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:52,077 log 101615 140155637716544 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:19:52,080 log 101615 140155654501952 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:19:52,081 basehttp 101615 140155637716544 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:52,082 basehttp 101615 140155654501952 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:52,113 log 101615 140155629323840 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:19:52,114 basehttp 101615 140155629323840 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:52,149 log 101615 140155629323840 Not Found: /static/admin/js/nav_sidebar.js
